messagecode,meldeklasse,priority,kurztext_2,kurztext_3,kurztext_4
24554,D,ignore,+5AДверь02_1Л на шине MVB линии А неисправно,Поступило ДС 24554 +5AДверь02_1Л на шине MVB линии А неисправно,Более не активно ДС 24554 +5AДверь02_1Л на шине MVB линии А неисправно
24555,D,ignore,+5AДверь04_2Л на шине MVB линии А неисправно,Поступило ДС 24555 +5AДверь04_2Л на шине MVB линии А неисправно,Более не активно ДС 24555 +5AДверь04_2Л на шине MVB линии А неисправно
24556,D,ignore,+6БУТ на шине MVB линии А неисправно,Поступило ДС 24556 +6БУТ на шине MVB линии А неисправно,Более не активно ДС 24556 +6БУТ на шине MVB линии А неисправно
24557,D,ignore,+6ПСН на шине MVB линии А неисправно,Поступило ДС 24557 +6ПСН на шине MVB линии А неисправно,Более не активно ДС 24557 +6ПСН на шине MVB линии А неисправно
24558,D,ignore,+6AДверь02_1Л на шине MVB линии А неисправно,Поступило ДС 24558 +6AДверь02_1Л на шине MVB линии А неисправно,Более не активно ДС 24558 +6AДверь02_1Л на шине MVB линии А неисправно
24559,D,ignore,+6AДверь04_2Л на шине MVB линии А неисправно,Поступило ДС 24559 +6AДверь04_2Л на шине MVB линии А неисправно,Более не активно ДС 24559 +6AДверь04_2Л на шине MVB линии А неисправно
24560,D,ignore,Шина MVB линии А неисправно  в сегменте 1,Поступило ДС 24560 Шина MVB линии А неисправно  в сегменте 1,Более не активно ДС 24560 Шина MVB линии А неисправно  в сегменте 1
24561,D,ignore,Шина MVB линии А неисправно  в сегменте 2,Поступило ДС 24561 Шина MVB линии А неисправно  в сегменте 2,Более не активно ДС 24561 Шина MVB линии А неисправно  в сегменте 2
24562,D,ignore,Шина MVB линии А неисправно  в сегменте 4,Поступило ДС 24562 Шина MVB линии А неисправно  в сегменте 4,Более не активно ДС 24562 Шина MVB линии А неисправно  в сегменте 4
24563,D,ignore,Шина MVB линии А неисправно  в сегменте 5,Поступило ДС 24563 Шина MVB линии А неисправно  в сегменте 5,Более не активно ДС 24563 Шина MVB линии А неисправно  в сегменте 5
